k_s,sensitivity,cantera equation,cantera products,cantera reactants
544,-1.5115893472998263e-19,2 CO2(13) <=> CO(12) + CO3(195),"{'CO(12)': 1.0, 'CO3(195)': 1.0}",{'CO2(13)': 2.0}
553,1.5026653881573166e-19,CO3(195) + [O]OF(145) <=> CFO3(398) + O2(2),"{'CFO3(398)': 1.0, 'O2(2)': 1.0}","{'CO3(195)': 1.0, '[O]OF(145)': 1.0}"
523,-1.472929229659135e-19,2 CH2O2(153) <=> C2H2O4(835) + H2(6),"{'C2H2O4(835)': 1.0, 'H2(6)': 1.0}",{'CH2O2(153)': 2.0}
720,1.3906647399968965e-19,CO3(658) + O2(149) <=> O2(149) + [O][C]1OO1(659),"{'O2(149)': 1.0, '[O][C]1OO1(659)': 1.0}","{'CO3(658)': 1.0, 'O2(149)': 1.0}"
1328,1.3579363820197628e-19,FC1(F)OO1(2337) <=> CF2O(48) + O-2(150),"{'CF2O(48)': 1.0, 'O-2(150)': 1.0}",{'FC1(F)OO1(2337)': 1.0}
902,-1.275760602416872e-19,CH2O2(153) + O2(149) <=> O(4) + [O]C([O])O(714),"{'O(4)': 1.0, '[O]C([O])O(714)': 1.0}","{'CH2O2(153)': 1.0, 'O2(149)': 1.0}"
575,-1.2196697552872572e-19,F(37) + [O][C]1OO1(659) <=> CO3(195) + F(37),"{'CO3(195)': 1.0, 'F(37)': 1.0}","{'F(37)': 1.0, '[O][C]1OO1(659)': 1.0}"
492,-1.21171866188245e-19,CO(12) + [O]OF(145) <=> CFO3(398),{'CFO3(398)': 1.0},"{'CO(12)': 1.0, '[O]OF(145)': 1.0}"
2017,1.18751046456704e-19,CO(12) + FO[C]1OO1(660) <=> C2FO4(323),{'C2FO4(323)': 1.0},"{'CO(12)': 1.0, 'FO[C]1OO1(660)': 1.0}"
2039,1.1534085894629318e-19,CO(12) + FO[C]1OO1(660) <=> CFO(50) + CO3(202),"{'CFO(50)': 1.0, 'CO3(202)': 1.0}","{'CO(12)': 1.0, 'FO[C]1OO1(660)': 1.0}"
561,-1.1496060455702435e-19,CO3(658) + O2(2) <=> CO3(195) + O2(2),"{'CO3(195)': 1.0, 'O2(2)': 1.0}","{'CO3(658)': 1.0, 'O2(2)': 1.0}"
781,-1.0967113169794846e-19,CHO2(154) + CO2(13) + HF(38) <=> CFO(50) + [O]C([O])O(714),"{'CFO(50)': 1.0, '[O]C([O])O(714)': 1.0}","{'CHO2(154)': 1.0, 'CO2(13)': 1.0, 'HF(38)': 1.0}"
1263,-1.0305207605752214e-19,C2O3(208) <=> C2O3(203),{'C2O3(203)': 1.0},{'C2O3(208)': 1.0}
2044,-1.0082762211196829e-19,C2HO4(676) + CO2(13) + HF(38) <=> C2HO4(676) + CFOOH(127),"{'C2HO4(676)': 1.0, 'CFOOH(127)': 1.0}","{'C2HO4(676)': 1.0, 'CO2(13)': 1.0, 'HF(38)': 1.0}"
2069,9.264985630273908e-20,CO3(658) + F(37) <=> CFO2(178) + O-2(150),"{'CFO2(178)': 1.0, 'O-2(150)': 1.0}","{'CO3(658)': 1.0, 'F(37)': 1.0}"
333,8.969874370702642e-20,CO3(658) + O2(149) <=> O2(2) + [O][C]1OO1(659),"{'O2(2)': 1.0, '[O][C]1OO1(659)': 1.0}","{'CO3(658)': 1.0, 'O2(149)': 1.0}"
1438,-8.73043326445515e-20,C2HO5(672) <=> CHO2(157) + CO3(202),"{'CHO2(157)': 1.0, 'CO3(202)': 1.0}",{'C2HO5(672)': 1.0}
1816,-7.765449345698772e-20,C2O5(975) <=> CO(12) + CO4(180),"{'CO(12)': 1.0, 'CO4(180)': 1.0}",{'C2O5(975)': 1.0}
1699,-7.33530049889044e-20,CO2(13) + CO3(202) <=> CO2(156) + CO3(658),"{'CO2(156)': 1.0, 'CO3(658)': 1.0}","{'CO2(13)': 1.0, 'CO3(202)': 1.0}"
1791,6.551947470052502e-20,CHO3(238) + CO2(13) <=> C2O5(739) + H(3),"{'C2O5(739)': 1.0, 'H(3)': 1.0}","{'CHO3(238)': 1.0, 'CO2(13)': 1.0}"
1869,-6.176447249863393e-20,CHO2(154) + OH(5) <=> CO3(658) + H2(6),"{'CO3(658)': 1.0, 'H2(6)': 1.0}","{'CHO2(154)': 1.0, 'OH(5)': 1.0}"
779,-5.637635339414936e-20,CH2O(19) + CH2O2(153) <=> CH2(T)(17) + [O]C([O])O(714),"{'CH2(T)(17)': 1.0, '[O]C([O])O(714)': 1.0}","{'CH2O(19)': 1.0, 'CH2O2(153)': 1.0}"
698,-5.579824713779688e-20,CH2O4(759) <=> CHO3(238) + OH(5),"{'CHO3(238)': 1.0, 'OH(5)': 1.0}",{'CH2O4(759)': 1.0}
1257,-5.276694520369093e-20,CO2(13) + CO2(156) <=> C2O4(191),{'C2O4(191)': 1.0},"{'CO2(13)': 1.0, 'CO2(156)': 1.0}"
1804,5.190013795920803e-20,CO2(13) + CO3(658) <=> CO(12) + CO4(180),"{'CO(12)': 1.0, 'CO4(180)': 1.0}","{'CO2(13)': 1.0, 'CO3(658)': 1.0}"
2041,-5.076135825739884e-20,CO(12) + FO[C]1OO1(660) <=> C2O4(204) + F(37),"{'C2O4(204)': 1.0, 'F(37)': 1.0}","{'CO(12)': 1.0, 'FO[C]1OO1(660)': 1.0}"
1808,-4.566934737005362e-20,C2O5(1179) <=> CO2(13) + CO3(195),"{'CO2(13)': 1.0, 'CO3(195)': 1.0}",{'C2O5(1179)': 1.0}
1813,4.372703758562199e-20,CO2(13) + CO3(202) <=> CO(12) + CO4(180),"{'CO(12)': 1.0, 'CO4(180)': 1.0}","{'CO2(13)': 1.0, 'CO3(202)': 1.0}"
1249,4.0869018082584993e-20,2 CO2(13) <=> C2O4(191),{'C2O4(191)': 1.0},{'CO2(13)': 2.0}
1922,-4.0321834564849014e-20,CF2O(48) + CH2O3(316) + HF(38) <=> O[C](O)F(765) + [O]C(O)(F)F(767),"{'O[C](O)F(765)': 1.0, '[O]C(O)(F)F(767)': 1.0}","{'CF2O(48)': 1.0, 'CH2O3(316)': 1.0, 'HF(38)': 1.0}"
549,3.947454187377143e-20,CFO3(398) <=> CO3(195) + F(37),"{'CO3(195)': 1.0, 'F(37)': 1.0}",{'CFO3(398)': 1.0}
1782,3.7152081614795546e-20,CO3(658) + O(4) <=> O1OC12OO2(1041),{'O1OC12OO2(1041)': 1.0},"{'CO3(658)': 1.0, 'O(4)': 1.0}"
1422,-3.7131673914767544e-20,C2HO5(721) + CHO2(154) <=> C2H2O5(845) + CO2(13),"{'C2H2O5(845)': 1.0, 'CO2(13)': 1.0}","{'C2HO5(721)': 1.0, 'CHO2(154)': 1.0}"
1820,-3.5918008256476146e-20,C2O5(734) <=> CO2(13) + CO3(195),"{'CO2(13)': 1.0, 'CO3(195)': 1.0}",{'C2O5(734)': 1.0}
1847,-3.570594213373249e-20,CH2O2(153) + O2(149) <=> O(4) + OC1OO1(667),"{'O(4)': 1.0, 'OC1OO1(667)': 1.0}","{'CH2O2(153)': 1.0, 'O2(149)': 1.0}"
1872,-3.5558851787739084e-20,CHO3(238) + H(3) <=> CO3(658) + H2(6),"{'CO3(658)': 1.0, 'H2(6)': 1.0}","{'CHO3(238)': 1.0, 'H(3)': 1.0}"
2104,-3.308921456137666e-20,C2HO5(721) <=> C2HO5(3105),{'C2HO5(3105)': 1.0},{'C2HO5(721)': 1.0}
1445,-3.296692187412564e-20,C2HO5(721) <=> CHO2(157) + CO3(658),"{'CHO2(157)': 1.0, 'CO3(658)': 1.0}",{'C2HO5(721)': 1.0}
1689,3.217414134702633e-20,CO2(13) + CO3(658) <=> CO2(156) + CO3(202),"{'CO2(156)': 1.0, 'CO3(202)': 1.0}","{'CO2(13)': 1.0, 'CO3(658)': 1.0}"
1209,3.1815878165513145e-20,CFO2(178) + CO2(13) + HF(38) <=> C2HFO4(219) + F(37),"{'C2HFO4(219)': 1.0, 'F(37)': 1.0}","{'CFO2(178)': 1.0, 'CO2(13)': 1.0, 'HF(38)': 1.0}"
1125,2.9547822225966913e-20,CO(12) + [O]OF(145) <=> CO3(195) + F(37),"{'CO3(195)': 1.0, 'F(37)': 1.0}","{'CO(12)': 1.0, '[O]OF(145)': 1.0}"
1647,-2.809523836801608e-20,CO4(180) <=> O1OC12OO2(1041),{'O1OC12OO2(1041)': 1.0},{'CO4(180)': 1.0}
1798,-2.5334890074890355e-20,C2O5(949) <=> C2O5(739),{'C2O5(739)': 1.0},{'C2O5(949)': 1.0}
1830,-2.2784132246195787e-20,HO2(10) + OC1OO1(667) <=> H2O2(11) + O[C]1OO1(661),"{'H2O2(11)': 1.0, 'O[C]1OO1(661)': 1.0}","{'HO2(10)': 1.0, 'OC1OO1(667)': 1.0}"
1769,2.1529596167112155e-20,CHO2(154) + CO2(13) <=> CO3(658) + HCO(14),"{'CO3(658)': 1.0, 'HCO(14)': 1.0}","{'CHO2(154)': 1.0, 'CO2(13)': 1.0}"
1834,-1.9928574965562973e-20,CHO2(154) + OC1OO1(667) <=> CH2O2(153) + O[C]1OO1(661),"{'CH2O2(153)': 1.0, 'O[C]1OO1(661)': 1.0}","{'CHO2(154)': 1.0, 'OC1OO1(667)': 1.0}"
838,-1.9353651367481974e-20,C2H2O4(835) + H2O(7) <=> C2H2O5(845) + H2(6),"{'C2H2O5(845)': 1.0, 'H2(6)': 1.0}","{'C2H2O4(835)': 1.0, 'H2O(7)': 1.0}"
1702,-1.8951199151725795e-20,C2O5(975) <=> CO2(156) + CO3(658),"{'CO2(156)': 1.0, 'CO3(658)': 1.0}",{'C2O5(975)': 1.0}
414,1.8243985038729756e-20,CHO3(238) + CO2(13) + HF(38) <=> CFO2(178) + CH2O3(316),"{'CFO2(178)': 1.0, 'CH2O3(316)': 1.0}","{'CHO3(238)': 1.0, 'CO2(13)': 1.0, 'HF(38)': 1.0}"
1256,1.7038638545803e-20,CHO2(157) + CO2(13) <=> C2O4(191) + H(3),"{'C2O4(191)': 1.0, 'H(3)': 1.0}","{'CHO2(157)': 1.0, 'CO2(13)': 1.0}"
844,-1.472151754093477e-20,CHO3(238) + F(37) <=> CO3(202) + HF(38),"{'CO3(202)': 1.0, 'HF(38)': 1.0}","{'CHO3(238)': 1.0, 'F(37)': 1.0}"
872,-1.45142048906958e-20,CHO3(238) + H(3) <=> CO3(202) + H2(6),"{'CO3(202)': 1.0, 'H2(6)': 1.0}","{'CHO3(238)': 1.0, 'H(3)': 1.0}"
1624,-1.4316059375919998e-20,CHO2(154) + H2(6) <=> O[CH]O(970),{'O[CH]O(970)': 1.0},"{'CHO2(154)': 1.0, 'H2(6)': 1.0}"
892,-1.2980672667700612e-20,CF2O(48) + CHO3(238) <=> CFO2(178) + CFOOH(127),"{'CFO2(178)': 1.0, 'CFOOH(127)': 1.0}","{'CF2O(48)': 1.0, 'CHO3(238)': 1.0}"
1119,1.2622204151341177e-20,CHO3(662) + [O]OF(145) <=> CHFO3(641) + O2(2),"{'CHFO3(641)': 1.0, 'O2(2)': 1.0}","{'CHO3(662)': 1.0, '[O]OF(145)': 1.0}"
1838,-1.2362707334658845e-20,OC1OO1(667) + [O]F(257) <=> OF(231) + O[C]1OO1(661),"{'OF(231)': 1.0, 'O[C]1OO1(661)': 1.0}","{'OC1OO1(667)': 1.0, '[O]F(257)': 1.0}"
1205,-1.1219425136477902e-20,CFOOH(127) + CH2O2(153) <=> C2HFO4(219) + H2(6),"{'C2HFO4(219)': 1.0, 'H2(6)': 1.0}","{'CFOOH(127)': 1.0, 'CH2O2(153)': 1.0}"
2038,1.1141878298840612e-20,CO(12) + FO[C]1OO1(660) <=> CFO(50) + CO3(658),"{'CFO(50)': 1.0, 'CO3(658)': 1.0}","{'CO(12)': 1.0, 'FO[C]1OO1(660)': 1.0}"
2105,-1.089509278754084e-20,CHO2(157) + [O][C]1OO1(659) <=> C2HO5(3105),{'C2HO5(3105)': 1.0},"{'CHO2(157)': 1.0, '[O][C]1OO1(659)': 1.0}"
1258,-1.0446362419770029e-20,CO2(13) + CO2(156) <=> C2O3(208) + O(4),"{'C2O3(208)': 1.0, 'O(4)': 1.0}","{'CO2(13)': 1.0, 'CO2(156)': 1.0}"
1835,-1.0252881534581614e-20,CHO2(157) + OC1OO1(667) <=> CH2O2(153) + O[C]1OO1(661),"{'CH2O2(153)': 1.0, 'O[C]1OO1(661)': 1.0}","{'CHO2(157)': 1.0, 'OC1OO1(667)': 1.0}"
1852,-8.831967650999025e-21,C2HO5(670) + O[C]1OO1(661) <=> C2O5(975) + OC1OO1(667),"{'C2O5(975)': 1.0, 'OC1OO1(667)': 1.0}","{'C2HO5(670)': 1.0, 'O[C]1OO1(661)': 1.0}"
1491,8.766001488400046e-21,CHO4(412) <=> CO3(195) + OH(5),"{'CO3(195)': 1.0, 'OH(5)': 1.0}",{'CHO4(412)': 1.0}
1238,8.44207760962472e-21,C2FO4(323) + O2(2) <=> C2FO4(323) + O2(149),"{'C2FO4(323)': 1.0, 'O2(149)': 1.0}","{'C2FO4(323)': 1.0, 'O2(2)': 1.0}"
520,7.231906772335614e-21,CH2O2(153) + CO2(13) + HF(38) <=> C2H2O4(835) + HF(38),"{'C2H2O4(835)': 1.0, 'HF(38)': 1.0}","{'CH2O2(153)': 1.0, 'CO2(13)': 1.0, 'HF(38)': 1.0}"
427,7.100882424649081e-21,C2FO4(1196) <=> CFO(50) + CO3(202),"{'CFO(50)': 1.0, 'CO3(202)': 1.0}",{'C2FO4(1196)': 1.0}
683,7.00019000550541e-21,CHFO(46) + CO2(13) + HF(38) <=> C2F2O3(516) + H2(6),"{'C2F2O3(516)': 1.0, 'H2(6)': 1.0}","{'CHFO(46)': 1.0, 'CO2(13)': 1.0, 'HF(38)': 1.0}"
1837,-6.711144390358498e-21,C2HO4(1601) + O[C]1OO1(661) <=> C2O4(204) + OC1OO1(667),"{'C2O4(204)': 1.0, 'OC1OO1(667)': 1.0}","{'C2HO4(1601)': 1.0, 'O[C]1OO1(661)': 1.0}"
1145,6.705687250737609e-21,CFO3(398) + CO2(13) + HF(38) <=> C2F2O3(516) + HO2(10),"{'C2F2O3(516)': 1.0, 'HO2(10)': 1.0}","{'CFO3(398)': 1.0, 'CO2(13)': 1.0, 'HF(38)': 1.0}"
1311,-6.658911831693235e-21,[O]C1(F)OO1(655) <=> CFO2(178) + O-2(150),"{'CFO2(178)': 1.0, 'O-2(150)': 1.0}",{'[O]C1(F)OO1(655)': 1.0}
1698,6.5797454787800864e-21,CO2(13) + CO3(202) <=> CO2(156) + CO3(202),"{'CO2(156)': 1.0, 'CO3(202)': 1.0}","{'CO2(13)': 1.0, 'CO3(202)': 1.0}"
428,6.573359549123508e-21,C2FO4(1196) <=> CFO(50) + CO3(658),"{'CFO(50)': 1.0, 'CO3(658)': 1.0}",{'C2FO4(1196)': 1.0}
1079,6.1025553384077714e-21,CO3(195) + OOF(259) <=> CFO3(398) + HO2(10),"{'CFO3(398)': 1.0, 'HO2(10)': 1.0}","{'CO3(195)': 1.0, 'OOF(259)': 1.0}"
887,6.039042562718375e-21,[O]O[C]1OO1(684) <=> CO3(195) + O(4),"{'CO3(195)': 1.0, 'O(4)': 1.0}",{'[O]O[C]1OO1(684)': 1.0}
1050,5.648607903398917e-21,CF2O(48) + CHO3(238) <=> CO2(156) + [O]C(O)(F)F(767),"{'CO2(156)': 1.0, '[O]C(O)(F)F(767)': 1.0}","{'CF2O(48)': 1.0, 'CHO3(238)': 1.0}"
1557,-5.546066069503652e-21,CHO3(238) + CO2(13) <=> CHO4(413) + CO(12),"{'CHO4(413)': 1.0, 'CO(12)': 1.0}","{'CHO3(238)': 1.0, 'CO2(13)': 1.0}"
480,5.055974401651395e-21,C2HO4(1601) + CO2(13) + HF(38) <=> C2H2O4(1836) + CFO2(178),"{'C2H2O4(1836)': 1.0, 'CFO2(178)': 1.0}","{'C2HO4(1601)': 1.0, 'CO2(13)': 1.0, 'HF(38)': 1.0}"
719,4.7247787927465545e-21,CO2(13) + CO3(658) + HF(38) <=> CHO2(157) + [O]C1(F)OO1(655),"{'CHO2(157)': 1.0, '[O]C1(F)OO1(655)': 1.0}","{'CO2(13)': 1.0, 'CO3(658)': 1.0, 'HF(38)': 1.0}"
1832,-4.475544793959253e-21,CFO2(178) + OC1OO1(667) <=> CFOOH(127) + O[C]1OO1(661),"{'CFOOH(127)': 1.0, 'O[C]1OO1(661)': 1.0}","{'CFO2(178)': 1.0, 'OC1OO1(667)': 1.0}"
596,4.373188514774853e-21,CFO2(178) + CO2(13) + HF(38) <=> CF2O(48) + CHO3(238),"{'CF2O(48)': 1.0, 'CHO3(238)': 1.0}","{'CFO2(178)': 1.0, 'CO2(13)': 1.0, 'HF(38)': 1.0}"
1072,-4.027905913025323e-21,CO3(202) + O2(2) <=> CO3(202) + O2(149),"{'CO3(202)': 1.0, 'O2(149)': 1.0}","{'CO3(202)': 1.0, 'O2(2)': 1.0}"
835,3.70813174505763e-21,CHO3(238) + CO2(13) + HF(38) <=> C2H2O5(845) + F(37),"{'C2H2O5(845)': 1.0, 'F(37)': 1.0}","{'CHO3(238)': 1.0, 'CO2(13)': 1.0, 'HF(38)': 1.0}"
1882,-3.3592430568582136e-21,C2O5(975) + OH(5) <=> C2O5(739) + OH(5),"{'C2O5(739)': 1.0, 'OH(5)': 1.0}","{'C2O5(975)': 1.0, 'OH(5)': 1.0}"
1394,2.846399517920598e-21,CO2(13) + CO3(658) + HF(38) <=> C2HO5(672) + F(37),"{'C2HO5(672)': 1.0, 'F(37)': 1.0}","{'CO2(13)': 1.0, 'CO3(658)': 1.0, 'HF(38)': 1.0}"
694,-2.8070858859710228e-21,CH2O3(316) + O2(149) <=> CH2O4(759) + O(4),"{'CH2O4(759)': 1.0, 'O(4)': 1.0}","{'CH2O3(316)': 1.0, 'O2(149)': 1.0}"
1819,-2.638264945988765e-21,C2O5(734) <=> CO(12) + CO4(180),"{'CO(12)': 1.0, 'CO4(180)': 1.0}",{'C2O5(734)': 1.0}
793,-2.6047867169005586e-21,H(3) + O[C]1OO1(661) <=> CO3(202) + H2(6),"{'CO3(202)': 1.0, 'H2(6)': 1.0}","{'H(3)': 1.0, 'O[C]1OO1(661)': 1.0}"
1296,-2.395224759599369e-21,C2H2FO4(1840) + O[C](F)F(869) <=> C2H2O4(1836) + OC(F)(F)F(2205),"{'C2H2O4(1836)': 1.0, 'OC(F)(F)F(2205)': 1.0}","{'C2H2FO4(1840)': 1.0, 'O[C](F)F(869)': 1.0}"
688,2.288790098559422e-21,CF2O(48) + CO2(13) + HF(38) <=> C2F2O3(516) + HF(38),"{'C2F2O3(516)': 1.0, 'HF(38)': 1.0}","{'CF2O(48)': 1.0, 'CO2(13)': 1.0, 'HF(38)': 1.0}"
1259,-2.2815369109475606e-21,CO2(13) + CO2(156) <=> 2 CO2(156),{'CO2(156)': 2.0},"{'CO2(13)': 1.0, 'CO2(156)': 1.0}"
1701,-1.987233570051197e-21,C2O5(975) <=> CO2(156) + CO3(202),"{'CO2(156)': 1.0, 'CO3(202)': 1.0}",{'C2O5(975)': 1.0}
1511,-1.921126481855716e-21,C2FO4(990) + CH2O2(153) + HF(38) <=> C2HO5(672) + CHFO(46) + HF(38),"{'C2HO5(672)': 1.0, 'CHFO(46)': 1.0, 'HF(38)': 1.0}","{'C2FO4(990)': 1.0, 'CH2O2(153)': 1.0, 'HF(38)': 1.0}"
2084,1.8044189878809936e-21,CO2(13) + CO3(202) + HF(38) <=> CFOOH(127) + CO3(202),"{'CFOOH(127)': 1.0, 'CO3(202)': 1.0}","{'CO2(13)': 1.0, 'CO3(202)': 1.0, 'HF(38)': 1.0}"
1811,-1.6178684278229995e-21,C2O5(949) <=> CO2(13) + CO3(195),"{'CO2(13)': 1.0, 'CO3(195)': 1.0}",{'C2O5(949)': 1.0}
2083,1.617183129363465e-21,CO2(13) + CO3(202) + HF(38) <=> C2HFO4(219) + O(4),"{'C2HFO4(219)': 1.0, 'O(4)': 1.0}","{'CO2(13)': 1.0, 'CO3(202)': 1.0, 'HF(38)': 1.0}"
1391,-1.476078039935366e-21,C2FO4(990) + CFOOH(127) <=> C2HO5(672) + CF2O(48),"{'C2HO5(672)': 1.0, 'CF2O(48)': 1.0}","{'C2FO4(990)': 1.0, 'CFOOH(127)': 1.0}"
725,1.4014471783282514e-21,CF2O(48) + CO2(13) + HF(38) <=> CO2(13) + OC(F)(F)F(2205),"{'CO2(13)': 1.0, 'OC(F)(F)F(2205)': 1.0}","{'CF2O(48)': 1.0, 'CO2(13)': 1.0, 'HF(38)': 1.0}"
818,-1.3744705357511606e-21,CFOOH(127) + CH2O(19) <=> CH2(T)(17) + CHFO3(716),"{'CH2(T)(17)': 1.0, 'CHFO3(716)': 1.0}","{'CFOOH(127)': 1.0, 'CH2O(19)': 1.0}"
1594,-1.2465905123873787e-21,CHO4(413) <=> CO3(195) + OH(5),"{'CO3(195)': 1.0, 'OH(5)': 1.0}",{'CHO4(413)': 1.0}
661,-1.039550252373136e-21,CFO2(178) + CO2(13) + HF(38) <=> CO2(13) + [O]C(O)(F)F(767),"{'CO2(13)': 1.0, '[O]C(O)(F)F(767)': 1.0}","{'CFO2(178)': 1.0, 'CO2(13)': 1.0, 'HF(38)': 1.0}"
1714,-9.994417947998981e-22,C2O5(734) <=> CO2(156) + CO3(658),"{'CO2(156)': 1.0, 'CO3(658)': 1.0}",{'C2O5(734)': 1.0}
833,9.769621736192491e-22,CHO3(238) + F(37) <=> CHFO3(716),{'CHFO3(716)': 1.0},"{'CHO3(238)': 1.0, 'F(37)': 1.0}"
1683,8.341924300658868e-22,C2HO5(672) <=> C2O5(734) + H(3),"{'C2O5(734)': 1.0, 'H(3)': 1.0}",{'C2HO5(672)': 1.0}
1718,-7.711698150581821e-22,CHO3(238) + HO2(10) <=> CH2O4(759) + O(4),"{'CH2O4(759)': 1.0, 'O(4)': 1.0}","{'CHO3(238)': 1.0, 'HO2(10)': 1.0}"
1519,7.664375527567714e-22,CH2O2(153) + O2(149) <=> CH2O4(735),{'CH2O4(735)': 1.0},"{'CH2O2(153)': 1.0, 'O2(149)': 1.0}"
1720,-7.638467475458627e-22,CHO3(238) + HO2(10) <=> CH2O3(316) + O2(2),"{'CH2O3(316)': 1.0, 'O2(2)': 1.0}","{'CHO3(238)': 1.0, 'HO2(10)': 1.0}"
1006,-6.937723420656068e-22,C2O4(204) + CO2(13) <=> C2O4(204) + CO2(156),"{'C2O4(204)': 1.0, 'CO2(156)': 1.0}","{'C2O4(204)': 1.0, 'CO2(13)': 1.0}"
1807,-6.910810152941447e-22,C2O5(1179) <=> CO(12) + CO4(180),"{'CO(12)': 1.0, 'CO4(180)': 1.0}",{'C2O5(1179)': 1.0}
756,6.442339713338613e-22,CFO2(178) + CHFO3(641) <=> CFO3(398) + CFOOH(127),"{'CFO3(398)': 1.0, 'CFOOH(127)': 1.0}","{'CFO2(178)': 1.0, 'CHFO3(641)': 1.0}"
860,5.560177675440489e-22,CFOOH(127) + O2(149) <=> CO4(180) + HF(38),"{'CO4(180)': 1.0, 'HF(38)': 1.0}","{'CFOOH(127)': 1.0, 'O2(149)': 1.0}"
1435,-4.6694348786470565e-22,C2HO5(670) <=> CHO2(157) + CO3(658),"{'CHO2(157)': 1.0, 'CO3(658)': 1.0}",{'C2HO5(670)': 1.0}
1525,-4.256561628957497e-22,CH2O2(153) + O2(149) <=> CO2(13) + H2O2(11),"{'CO2(13)': 1.0, 'H2O2(11)': 1.0}","{'CH2O2(153)': 1.0, 'O2(149)': 1.0}"
1569,3.8628129906235112e-22,CH2O2(153) + O2(149) <=> CHO4(413) + H(3),"{'CHO4(413)': 1.0, 'H(3)': 1.0}","{'CH2O2(153)': 1.0, 'O2(149)': 1.0}"
1836,-3.741468023454993e-22,CHO3(238) + OC1OO1(667) <=> CH2O3(316) + O[C]1OO1(661),"{'CH2O3(316)': 1.0, 'O[C]1OO1(661)': 1.0}","{'CHO3(238)': 1.0, 'OC1OO1(667)': 1.0}"
834,-3.523521181187155e-22,CO3(202) + HF(38) <=> CHFO3(716),{'CHFO3(716)': 1.0},"{'CO3(202)': 1.0, 'HF(38)': 1.0}"
1433,-2.829556439895704e-22,C2HO5(670) <=> CHO2(157) + CO3(202),"{'CHO2(157)': 1.0, 'CO3(202)': 1.0}",{'C2HO5(670)': 1.0}
1722,-2.3075188300796386e-22,C2O5(975) + OH(5) <=> CHO4(413) + CO2(156),"{'CHO4(413)': 1.0, 'CO2(156)': 1.0}","{'C2O5(975)': 1.0, 'OH(5)': 1.0}"
1495,1.9995678060803256e-22,CHO4(412) + CO2(13) <=> CHO3(238) + CO3(195),"{'CHO3(238)': 1.0, 'CO3(195)': 1.0}","{'CHO4(412)': 1.0, 'CO2(13)': 1.0}"
1712,-1.7646577858475562e-22,C2O5(734) <=> CO2(156) + CO3(202),"{'CO2(156)': 1.0, 'CO3(202)': 1.0}",{'C2O5(734)': 1.0}
1846,-1.6371978965411763e-22,CH2O2(153) + O2(149) <=> O(4) + OC1OO1(667),"{'O(4)': 1.0, 'OC1OO1(667)': 1.0}","{'CH2O2(153)': 1.0, 'O2(149)': 1.0}"
691,-1.521116169480523e-22,C2F2O3(516) + CO2(13) <=> C2FO4(323) + CFO(50),"{'C2FO4(323)': 1.0, 'CFO(50)': 1.0}","{'C2F2O3(516)': 1.0, 'CO2(13)': 1.0}"
1195,1.4161122963108447e-22,CFOOH(127) + CO2(13) + HF(38) <=> C2HFO4(219) + HF(38),"{'C2HFO4(219)': 1.0, 'HF(38)': 1.0}","{'CFOOH(127)': 1.0, 'CO2(13)': 1.0, 'HF(38)': 1.0}"
187,-1.3151334057384414e-22,CH2O(19) + O2(149) <=> C1OO1(148) + O(4),"{'C1OO1(148)': 1.0, 'O(4)': 1.0}","{'CH2O(19)': 1.0, 'O2(149)': 1.0}"
1778,-1.1166483242110536e-22,C2O5(975) + OH(5) <=> C2O4(204) + HO2(10),"{'C2O4(204)': 1.0, 'HO2(10)': 1.0}","{'C2O5(975)': 1.0, 'OH(5)': 1.0}"
1785,-1.1005953753200005e-22,CO3(658) + O(4) <=> CO3(658) + O-2(150),"{'CO3(658)': 1.0, 'O-2(150)': 1.0}","{'CO3(658)': 1.0, 'O(4)': 1.0}"
1682,1.0826950726856354e-22,C2HO5(670) <=> C2O5(734) + H(3),"{'C2O5(734)': 1.0, 'H(3)': 1.0}",{'C2HO5(670)': 1.0}
1651,-9.691513542942903e-23,CO2(156) + O2(149) <=> O1OC12OO2(1041),{'O1OC12OO2(1041)': 1.0},"{'CO2(156)': 1.0, 'O2(149)': 1.0}"
1810,9.624444779216121e-23,C2O5(949) <=> CO(12) + CO4(180),"{'CO(12)': 1.0, 'CO4(180)': 1.0}",{'C2O5(949)': 1.0}
788,-6.64638042381961e-23,CO2(13) + H2O(7) <=> CO3(202) + H2(6),"{'CO3(202)': 1.0, 'H2(6)': 1.0}","{'CO2(13)': 1.0, 'H2O(7)': 1.0}"
1687,-6.642843353294229e-23,CO2(13) + [O][C]1OO1(659) <=> CO2(156) + CO3(202),"{'CO2(156)': 1.0, 'CO3(202)': 1.0}","{'CO2(13)': 1.0, '[O][C]1OO1(659)': 1.0}"
1303,6.231425234536613e-23,C2F2O3(516) + CO2(13) + HF(38) <=> C2F2O3(516) + CFOOH(127),"{'C2F2O3(516)': 1.0, 'CFOOH(127)': 1.0}","{'C2F2O3(516)': 1.0, 'CO2(13)': 1.0, 'HF(38)': 1.0}"
712,6.205185126678898e-23,CO2(13) + CO3(658) + HF(38) <=> CFO2(178) + O[C]1OO1(661),"{'CFO2(178)': 1.0, 'O[C]1OO1(661)': 1.0}","{'CO2(13)': 1.0, 'CO3(658)': 1.0, 'HF(38)': 1.0}"
